Year,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
2005,2046,"$1,444,588",61,"$113,074",7.80%,4,Aug 5,Dec 8,Sony Pictures Classics
2005,A History of Violence,"$31,504,633","1,348","$364,000",1.20%,14,Sep 23,February 9,New Line Cinema
2005,A Lot Like Love,"$21,845,719","2,502","$7,576,593",34.70%,"2,502",April 22,Jul 7,Walt Disney Studios Motion Pictures
2005,A Sound of Thunder,"$1,900,451",816,"$917,398",48.30%,816,Sep 2,Oct 6,Warner Bros.
2005,Æon Flux,"$25,874,337","2,608","$12,661,112",48.90%,"2,608",Dec 2,Feb 9,Paramount Pictures
2005,Aliens of the Deep,"$8,968,684",27,"$479,368",5.30%,27,January 28,Dec 20,Walt Disney Studios Motion Pictures
2005,Alone in the Dark,"$5,178,569","2,124","$2,834,421",54.70%,"2,124",Jan 28,Feb 17,Lionsgate
2005,An Unfinished Life,"$8,586,392",888,"$749,000",8.70%,139,Sep 9,October 20,Miramax
2005,Are We There Yet?,"$82,674,398","2,810","$18,575,214",22.50%,"2,709",Jan 21,Jun 16,Revolution Studios
2005,Assault on Precinct 13,"$20,040,895","2,297","$7,000,000",-,"2,297",Jan 19,Feb 24,Rogue Pictures
2005,Bad News Bears,"$32,868,349","3,183","$11,382,472",34.60%,"3,183",Jul 22,Sep 29,Paramount Pictures
2005,Batman Begins,"$205,343,774","3,858","$48,745,440",23.70%,"3,858",Jun 15,Oct 30,Warner Bros.
2005,Be Cool,"$56,046,979","3,216","$23,450,212",41.80%,"3,216",Mar 4,May 19,Metro-Goldwyn-Mayer (MGM)
2005,Beauty Shop,"$36,351,350","2,659","$12,801,465",35.20%,"2,659",Mar 30,May 19,Metro-Goldwyn-Mayer (MGM)
2005,Because of Winn-Dixie,"$32,647,042","3,188","$10,208,431",31.30%,"3,188",Feb 18,Jun 23,Twentieth Century Fox
2005,Bewitched,"$63,313,159","3,188","$20,131,130",31.80%,"3,174",Jun 24,Aug 21,Sony Pictures Releasing
2005,Boogeyman,"$46,752,382","3,052","$19,020,655",40.70%,"3,052",Feb 4,Mar 31,Screen Gems
2005,Bride & Prejudice,"$6,605,592",288,"$385,848",-,32,Feb 11,May 26,Miramax
2005,Brokeback Mountain,"$83,043,761","2,089","$547,425",0.70%,5,Dec 9,Apr 20,Focus Features
2005,Broken Flowers,"$13,744,960",433,"$780,408",5.70%,27,Aug 5,Nov 17,Focus Features
2005,Caché,"$3,647,381",90,"$57,010",1.60%,5,Dec 23,May 4,Sony Pictures Classics
2005,Capote,"$28,750,530","1,239","$324,857",1.10%,12,Sep 30,Apr 27,Sony Pictures Classics
2005,Casanova,"$11,304,403","1,011","$119,276",1.10%,37,Dec 25,Apr 20,Walt Disney Studios Motion Pictures
2005,Charlie and the Chocolate Factory,"$206,459,076","3,790","$56,178,450",27.20%,"3,770",Jul 15,Dec 8,Warner Bros.
2005,Cheaper by the Dozen 2,"$82,571,173","3,211","$9,309,387",11.30%,"3,175",Dec 21,May 4,Twentieth Century Fox
2005,Chicken Little,"$135,386,665","3,658","$40,049,778",29.60%,"3,654",Nov 4,Apr 13,Walt Disney Studios Motion Pictures
2005,Cinderella Man,"$61,649,911","2,820","$18,320,205",29.70%,"2,812",Jun 3,Dec 8,Universal Pictures
2005,Coach Carter,"$67,264,877","2,574","$24,182,961",36%,"2,524",Jan 14,May 5,Paramount Pictures
2005,Constantine,"$75,976,178","3,006","$29,769,098",39.20%,"3,006",Feb 18,Jun 16,Warner Bros.
2005,Corpse Bride,"$53,359,111","3,204","$388,166",0.70%,5,Sep 16,Dec 22,Warner Bros.
2005,Crash,"$54,580,300","1,905","$9,107,071",16.70%,"1,864",May 6,Apr 6,Lionsgate
2005,Cry Wolf,"$10,047,674","1,789","$4,551,000",-,"1,789",Sep 16,Nov 3,Rogue Pictures
2005,Cursed,"$19,297,522","2,805","$9,600,000",-,"2,805",Feb 25,May 13,Dimension Films
2005,Dark Water2005 Re-release,"$25,473,352","2,657","$9,939,251",39%,"2,657",Jul 8,Oct 13,Walt Disney Studios Motion Pictures
2005,Derailed,"$36,024,076","2,447","$12,211,986",33.90%,"2,443",Nov 11,Feb 16,The Weinstein Company
2005,Deuce Bigalow: European Gigolo,"$22,400,154","3,127","$9,626,287",43.00%,"3,127",Aug 12,Oct 2,Sony Pictures Releasing
2005,Diary of a Mad Black Woman,"$50,633,099","1,703","$21,905,089",43.30%,"1,483",Feb 25,May 19,Lionsgate
2005,Domino,"$10,169,202","2,223","$4,675,000",-,"2,223",Oct 14,Nov 10,New Line Cinema
2005,Doom,"$28,212,337","3,044","$15,488,870",54.90%,"3,044",Oct 21,Dec 1,Universal Pictures
2005,Downfall,"$5,509,040",174,"$18,195",0.30%,1,Feb 18,June 16,Newmarket Films
2005,Dreamer,"$32,751,093","2,735","$9,178,233",28%,"2,007",Oct 21,Jan 5,DreamWorks Distribution
2005,Elektra,"$24,409,722","3,204","$12,804,793",52.50%,"3,204",Jan 14,Mar 31,Twentieth Century Fox
2005,Elizabethtown,"$26,850,426","2,517","$10,618,711",39.50%,"2,517",Oct 14,Dec 20,Paramount Pictures
2005,Enron: The Smartest Guys in the Room,"$4,071,700",151,"$76,639",1.90%,3,Apr 22,Sep 29,Magnolia Pictures
2005,Everything Is Illuminated,"$1,712,337",110,"$66,806",3.90%,6,Sep 16,Dec 1,Warner Independent Pictures (WIP)
2005,Fantastic Four,"$154,696,080","3,619","$56,061,504",36.20%,"3,602",Jul 8,Dec 29,Twentieth Century Fox
2005,Fever Pitch,"$42,071,069","3,275","$12,400,125",29.50%,"3,267",Apr 8,Aug 7,Twentieth Century Fox
2005,Flightplan,"$89,707,299","3,424","$24,629,938",27.50%,"3,424",Sep 23,Mar 9,Walt Disney Studios Motion Pictures
2005,Four Brothers,"$74,494,381","2,649","$21,176,925",28.40%,"2,533",Aug 12,Nov 22,Paramount Pictures
2005,Fun with Dick and Jane,"$110,332,737","3,239","$14,383,515",13%,"3,056",Dec 21,Feb 26,Sony Pictures Releasing
2005,G,"$3,020,784",495,"$248,337",8.20%,42,Sep 16,November 20,-
2005,Get Rich or Die Tryin',"$30,985,352","1,666","$12,020,807",38.80%,"1,652",Nov 9,Feb 2,Paramount Pictures
2005,"Good Night, and Good Luck.","$31,558,003",929,"$421,446",1.30%,11,Oct 7,Mar 16,Warner Independent Pictures (WIP)
2005,Grizzly Man,"$3,178,403",105,"$269,131",8.50%,29,August 12,Nov 24,Lionsgate
2005,Guess Who,"$68,915,888","3,147","$20,671,446",30.00%,"3,147",Mar 25,Jun 30,Sony Pictures Releasing
2005,Harry Potter and the Goblet of Fire,"$290,013,036","3,858","$102,685,961",35.40%,"3,858",Nov 18,Apr 6,Warner Bros.
2005,Herbie Fully Loaded,"$66,023,816","3,521","$12,709,221",19.20%,"3,521",Jun 22,Oct 13,Walt Disney Studios Motion Pictures
2005,Hide and Seek,"$51,100,486","3,005","$21,959,233",43.00%,"3,005",Jan 28,May 5,Twentieth Century Fox
2005,High Tension,"$3,681,066","1,323","$1,897,705",51.60%,"1,323",June 10,Jun 30,Lionsgate
2005,Hitch,"$179,495,555","3,575","$43,142,214",24.00%,"3,575",Feb 11,Jul 21,Sony Pictures Releasing
2005,Hoodwinked!,"$51,386,611","3,020",-,-,-,Dec 16,May 11,The Weinstein Company
2005,Hostage,"$34,639,939","2,183","$9,800,000",-,"2,123",Mar 11,Jun 23,Miramax
2005,House of Wax,"$32,064,800","3,111","$12,077,236",37.70%,"3,111",May 6,Jul 28,Warner Bros.
2005,Howl's Moving Castle,"$4,711,096",202,"$427,987",9.10%,36,Jun 10,October 6,Walt Disney Studios Motion Pictures
2005,Hustle & Flow,"$22,202,809","1,016","$8,017,808",36.10%,"1,013",Jul 22,Nov 28,Paramount Classics
2005,Ice Princess,"$24,402,491","2,501","$6,807,471",27.90%,"2,501",Mar 18,Jun 16,Walt Disney Studios Motion Pictures
2005,In Her Shoes,"$32,880,591","2,840","$10,017,575",30.50%,"2,808",Oct 7,January 29,Twentieth Century Fox
2005,In the Mix,"$10,223,896","1,608","$4,448,491",43.50%,"1,608",Nov 23,Dec 29,Lionsgate
2005,Into the Blue,"$18,801,234","2,789","$7,057,854",37.50%,"2,789",Sep 30,Jan 2,Sony Pictures Releasing
2005,Jarhead,"$62,658,220","2,448","$27,726,210",44.20%,"2,411",Nov 4,Jan 19,Universal Pictures
2005,Junebug,"$2,678,691",143,"$74,739",2.80%,7,Aug 3,Dec 8,Sony Pictures Classics
2005,Just Friends,"$32,619,671","2,505","$9,275,000",-,"2,505",Nov 23,Feb 9,New Line Cinema
2005,Just Like Heaven,"$48,318,130","3,543","$16,408,718",34.00%,"3,508",Sep 16,Dec 1,DreamWorks Distribution
2005,Kicking & Screaming,"$52,842,724","3,470","$20,159,925",38.20%,"3,455",May 13,August 4,Universal Pictures
2005,King Kong,"$218,080,025","3,627","$50,130,145",23.00%,"3,568",Dec 14,Apr 6,Universal Pictures
2005,King's Ransom,"$4,008,527","1,508","$2,300,000",-,"1,508",Apr 22,Jun 2,New Line Cinema
2005,Kingdom of Heaven,"$47,398,413","3,219","$19,635,996",41.40%,"3,216",May 6,Sep 1,Twentieth Century Fox
2005,Kiss Kiss Bang Bang,"$4,243,756",226,"$180,660",4.30%,8,Oct 21,Jan 12,Warner Bros.
2005,Kung Fu Hustle,"$17,108,591","2,503","$269,225",-,7,Apr 8,Aug 18,Sony Pictures Classics
2005,Ladies in Lavender,"$6,765,081",119,"$149,224",2.20%,22,April 29,Nov 3,IDP Distribution
2005,Land of the Dead,"$20,700,082","2,253","$10,221,705",49.40%,"2,249",June 24,Aug 4,Universal Pictures
2005,Layer Cake,"$2,339,957",200,"$81,706",3.50%,10,May 13,Aug 18,Sony Pictures Classics
2005,Look at Me,"$1,737,308",75,"$69,587",4.00%,6,Apr 1,Aug 18,Sony Pictures Classics
2005,Lord of War,"$24,149,632","2,814","$9,390,144",38.90%,"2,814",Sep 16,Nov 3,Lionsgate
2005,Lords of Dogtown,"$11,273,517","1,865","$5,623,373",49.90%,"1,865",Jun 3,Jun 26,Sony Pictures Releasing
2005,Mad Hot Ballroom,"$8,117,961",202,"$45,348",0.60%,2,May 13,Nov 28,Paramount Classics
2005,Madagascar,"$193,595,521","4,142","$47,224,594",24.40%,"4,131",May 27,Oct 13,DreamWorks Distribution
2005,Magnificent Desolation: Walking on the Moon,"$34,137,524",82,"$479,587",1.40%,80,Sep 23,Aug 16,IMAX
2005,Man of the House,"$19,699,706","2,422","$8,917,251",45.30%,"2,422",Feb 25,Apr 7,Sony Pictures Releasing
2005,March of the Penguins,"$77,437,223","2,506","$137,492",0.20%,4,Jun 24,Dec 1,Warner Independent Pictures (WIP)
2005,Match Point,"$23,151,529",512,"$398,593",1.70%,8,Dec 28,Mar 23,DreamWorks Distribution
2005,Me and You and Everyone We Know,"$3,885,134",160,"$30,801",1%,1,Jun 17,Oct 16,IFC Films
2005,Melinda and Melinda,"$3,826,280",302,"$74,238",1.90%,1,Mar 18,Jun 23,-
2005,Memoirs of a Geisha,"$57,490,508","1,654","$682,504",1.20%,8,Dec 9,Mar 12,Sony Pictures Releasing
2005,Millions,"$6,584,159",340,"$70,224",1.10%,5,Mar 11,Sep 1,-
2005,Mindhunters,"$4,480,744","1,040","$2,000,000",-,"1,040",May 13,Jul 14,Dimension Films
2005,Miss Congeniality 2: Armed & Fabulous,"$48,478,006","3,233","$14,043,215",29.00%,"3,233",Mar 24,Jul 7,Warner Bros.
2005,Monster-in-Law,"$82,931,301","3,424","$24,000,000",-,"3,424",May 13,Sep 5,New Line Cinema
2005,Mr. & Mrs. Smith,"$186,336,279","3,451","$50,342,878",27.00%,"3,424",Jun 10,Dec 15,Twentieth Century Fox
2005,Mrs Palfrey at the Claremont,"$1,720,953",22,"$9,744",0.60%,1,Nov 25,Jan 11,Cineville
2005,Mrs. Henderson Presents,"$11,036,366",522,"$55,344",0.50%,6,Dec 9,Jun 1,The Weinstein Company
2005,Munich,"$47,403,685","1,498","$4,152,260",8.80%,532,Dec 23,Mar 30,Universal Pictures
2005,Murderball,"$1,531,154",97,"$57,286",3.70%,8,Jul 8,Oct 6,THINKFilm
2005,Must Love Dogs,"$43,894,863","2,505","$12,855,321",29.30%,"2,505",Jul 29,October 30,Warner Bros.
2005,North Country,"$18,337,722","2,555","$6,422,455",35%,"2,555",Oct 21,Jan 12,Warner Bros.
2005,Oliver Twist,"$2,080,321",779,"$68,447",3.30%,5,Sep 23,Oct 16,Sony Pictures Releasing
2005,Ong-Bak: The Thai Warrior,"$4,563,167",387,"$1,334,869",-,387,Feb 11,Apr 28,Magnolia Pictures
2005,Paheli,"$1,409,499",68,"$632,000",44.80%,68,Jun 24,-,Eros Worldwide
2005,Paradise Now,"$1,457,843",65,"$48,023",3.30%,4,Oct 28,Mar 23,Warner Independent Pictures (WIP)
2005,Pooh's Heffalump Movie,"$18,098,433","2,529","$5,805,559",32.10%,"2,529",Feb 11,Apr 14,Walt Disney Studios Motion Pictures
2005,Pride & Prejudice,"$38,405,088","1,335","$2,804,000",-,215,Nov 11,Mar 2,Focus Features
2005,Prime,"$22,827,153","1,837","$6,220,935",27.30%,"1,827",Oct 28,Dec 15,Universal Pictures
2005,Proof,"$7,535,331",517,"$193,840",3%,8,Sep 16,Nov 24,Miramax
2005,Racing Stripes,"$49,772,522","3,185","$13,920,052",28%,"3,185",Jan 14,May 12,Warner Bros.
2005,Rebound,"$16,809,014","2,464","$5,033,848",29.90%,"2,464",Jul 1,Sep 22,Twentieth Century Fox
2005,Red Eye,"$57,891,803","3,134","$16,167,662",27.90%,"3,079",Aug 19,Oct 13,DreamWorks Distribution
2005,Rent,"$29,077,547","2,437","$10,016,021",34.40%,"2,433",Nov 23,Jan 2,Revolution Studios
2005,Rize,"$3,336,391",352,"$1,574,787",47%,352,Jun 24,Jul 21,Lionsgate
2005,Robots,"$128,200,012","3,776","$36,045,301",28.10%,"3,776",Mar 11,Sep 5,Twentieth Century Fox
2005,Roll Bounce,"$17,380,866","1,661","$7,570,366",44%,"1,625",Sep 23,Jan 5,-
2005,Rumor Has It...,"$43,000,262","2,815","$3,473,155",8.10%,"2,815",Dec 25,Mar 9,Warner Bros.
2005,Sahara,"$68,671,925","3,200","$18,068,372",26.30%,"3,154",Apr 8,Aug 4,Paramount Pictures
2005,Salaam Namaste,"$1,413,283",63,"$504,898",35.70%,63,Sep 9,November 3,Yash Raj Films
2005,Saw II,"$87,039,965","2,949","$31,725,652",36%,"2,949",Oct 28,Jan 5,Lionsgate
2005,Serenity,"$25,514,517","2,189","$10,086,680",39.50%,"2,188",Sep 30,Nov 17,Universal Pictures
2005,Shopgirl,"$10,284,523",493,"$229,685",2.20%,8,Oct 21,Mar 23,Walt Disney Studios Motion Pictures
2005,Sin City,"$74,103,820","3,230","$28,100,000",-,"3,230",Apr 1,Aug 11,Dimension Films
2005,Sky High,"$63,946,815","2,912","$14,631,784",22.90%,"2,905",Jul 29,Dec 1,Walt Disney Studios Motion Pictures
2005,Son of the Mask,"$17,018,422","2,966","$7,700,000",-,"2,966",Feb 18,Apr 28,New Line Cinema
2005,Star Wars: Episode III - Revenge of the Sith,"$380,270,577","3,663","$108,435,841",28.50%,"3,661",May 19,Oct 20,Twentieth Century Fox
2005,State Property: Blood on the Streets,"$1,691,706",202,"$756,905",44.70%,202,Apr 13,May 5,Lionsgate
2005,Stay,"$3,626,883","1,684","$2,188,199",60.30%,"1,684",Oct 21,Nov 27,Twentieth Century Fox
2005,Stealth,"$32,116,746","3,495","$13,251,545",41.30%,"3,495",Jul 29,Sep 5,Sony Pictures Releasing
2005,Supercross,"$3,102,550","1,621","$1,330,520",42.90%,"1,621",Aug 17,Sep 29,Twentieth Century Fox
2005,Syriana,"$50,824,620","1,775","$374,502",0.70%,5,Nov 23,Apr 20,Warner Bros.
2005,The 40-Year-Old Virgin,"$109,449,237","3,006","$21,422,815",19.60%,"2,845",Aug 19,Dec 15,Universal Pictures
2005,The Adventures of Sharkboy and Lavagirl 3-D,"$39,177,684","2,655","$12,500,000",-,"2,655",Jun 10,Oct 20,Dimension Films
2005,The Amityville Horror,"$65,233,369","3,323","$23,507,007",36.00%,"3,323",Apr 15,Jun 16,Metro-Goldwyn-Mayer (MGM)
2005,The Aristocrats,"$6,377,461",234,"$243,796",-,4,Jul 29,Jan 26,THINKFilm
2005,The Aviator,"$10,167,373",920,"$3,376,009",33.20%,819,Aug 12,Oct 20,Miramax
2005,The Brothers Grimm,"$37,916,267","3,098","$15,093,000",-,"3,087",Aug 26,Oct 20,Dimension Films
2005,The Cave,"$15,007,991","2,195","$6,147,294",41.00%,"2,195",Aug 26,Oct 2,Screen Gems
2005,The Chorus2005 Re-release,"$1,548,036",59,"$18,355",1.20%,2,Jan 14,May 26,Miramax
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957","3,853","$65,556,312",22.50%,"3,616",December 9,May 11,Walt Disney Studios Motion Pictures
2005,The Constant Gardener,"$33,579,797","1,387","$8,577,000",-,"1,346",Aug 31,Dec 1,Focus Features
2005,The Devil's Rejects,"$17,044,981","1,757","$7,067,335",41.50%,"1,757",Jul 22,Aug 25,Lionsgate
2005,The Dukes of Hazzard,"$80,270,227","3,785","$30,675,314",38.20%,"3,785",Aug 5,Oct 30,Warner Bros.
2005,The Exorcism of Emily Rose,"$75,072,454","3,045","$30,054,300",40.00%,"2,981",Sep 9,November 6,Screen Gems
2005,The Family Stone,"$60,062,868","2,469","$12,521,027",21%,"2,466",Dec 16,Mar 30,Twentieth Century Fox
2005,The Fog,"$29,550,869","2,972","$11,752,917",39.80%,"2,972",Oct 14,Nov 20,Revolution Studios
2005,The Gospel,"$15,778,152",983,"$7,523,571",47.70%,969,Oct 7,Nov 20,Screen Gems
2005,The Greatest Game Ever Played,"$15,337,393","1,810","$3,657,322",23.80%,"1,014",Sep 30,Dec 1,Walt Disney Studios Motion Pictures
2005,The Hitchhiker's Guide to the Galaxy,"$51,085,416","3,133","$21,103,203",41.30%,"3,133",Apr 29,Jul 21,Walt Disney Studios Motion Pictures
2005,The Honeymooners,"$12,843,849","1,912","$5,538,835",43.10%,"1,912",Jun 10,Aug 11,Paramount Pictures
2005,The Ice Harvest,"$9,016,782","1,555","$3,744,000",-,"1,550",Nov 23,Dec 15,Focus Features
2005,The Interpreter,"$72,708,161","2,814","$22,822,455",31.40%,"2,758",Apr 22,Jul 28,Universal Pictures
2005,The Island,"$35,818,913","3,138","$12,409,070",34.60%,"3,122",Jul 22,Sep 8,DreamWorks Distribution
2005,The Jacket,"$6,303,762","1,331","$2,723,682",43.20%,"1,331",Mar 4,May 26,Warner Independent Pictures (WIP)
2005,The Legend of Zorro,"$46,464,023","3,520","$16,328,506",35.10%,"3,520",Oct 28,Jan 2,Sony Pictures Releasing
2005,The Libertine,"$4,835,065",819,"$27,804",0.60%,2,November 25,Apr 20,The Weinstein Company
2005,The Longest Yard,"$158,119,460","3,654","$47,606,480",30.10%,"3,634",May 27,Oct 6,Paramount Pictures
2005,The Man,"$8,330,720","2,040","$4,025,000",-,"2,040",Sep 9,Oct 13,New Line Cinema
2005,The Matador,"$12,594,698",905,"$69,100",0.50%,4,Dec 30,Mar 30,The Weinstein Company
2005,The New World2005 Re-release,"$12,712,093",811,"$30,864",0.20%,3,Dec 25,April 2,New Line Cinema
2005,The Pacifier,"$113,086,868","3,181","$30,552,694",27.00%,"3,131",Mar 4,Jul 14,Walt Disney Studios Motion Pictures
2005,The Perfect Man,"$16,535,005","2,090","$5,300,980",32.10%,"2,087",Jun 17,Aug 11,Universal Pictures
2005,The Polar Express2005 IMAX Release,"$10,900,597",66,"$1,222,220",11.20%,66,Nov 23,Feb 2,Warner Bros.
2005,The Producers,"$19,398,532",978,"$154,590",0.80%,6,Dec 16,Feb 23,Universal Pictures
2005,The Ring Two,"$76,231,249","3,341","$35,065,237",46%,"3,332",Mar 18,Jun 16,DreamWorks Distribution
2005,The Ringer,"$35,428,675","1,853","$5,158,795",14.60%,"1,829",Dec 23,Mar 30,-
2005,The Sisterhood of the Traveling Pants,"$39,053,061","2,583","$9,833,340",25.20%,"2,583",Jun 1,Sep 15,Warner Bros.
2005,The Skeleton Key,"$47,907,715","2,784","$16,057,945",33.50%,"2,771",Aug 12,Oct 27,Universal Pictures
2005,The Squid and the Whale,"$7,372,734",151,"$129,844",1.80%,4,Oct 5,Mar 23,IDP Distribution
2005,The Three Burials of Melquiades Estrada,"$5,027,684",356,"$23,859",0.50%,5,Dec 14,Jun 8,Sony Pictures Classics
2005,The Upside of Anger,"$18,761,993","1,166","$211,559",1.10%,9,Mar 11,Jun 26,New Line Cinema
2005,The Weather Man,"$12,482,775","1,510","$4,248,465",34.00%,"1,510",Oct 28,Dec 20,Paramount Pictures
2005,The Wedding Date,"$31,726,995","1,704","$11,129,580",35.10%,"1,694",Feb 4,Mar 31,Universal Pictures
2005,The White Countess,"$1,669,971",67,"$46,348",2.80%,10,Dec 21,Apr 27,Sony Pictures Classics
2005,The Wild Parrots of Telegraph Hill,"$3,058,527",67,"$36,731",1.20%,5,Feb 9,Jun 15,Shadow Distribution
2005,The Work and the Glory II: American Zion,"$2,025,032",206,"$518,222",25.60%,205,Oct 21,Apr 13,Vineyard Distribution
2005,The World's Fastest Indian,"$5,128,124",251,-,-,-,Dec 7,Jul 16,Magnolia Pictures
2005,Transamerica,"$9,015,303",656,"$46,908",0.50%,2,Dec 2,Jun 1,The Weinstein Company
2005,Transporter 2,"$43,095,856","3,320","$16,540,720",38.40%,"3,303",Sep 2,December 29,Twentieth Century Fox
2005,Two for the Money,"$22,991,379","2,397","$8,703,240",37.90%,"2,391",Oct 7,November 17,Universal Pictures
2005,Underclassman,"$5,655,459","1,132","$2,646,000",-,"1,132",Sep 2,October 20,Miramax
2005,Unleashed,"$24,537,621","1,962","$10,600,000",-,"1,957",May 13,Jul 14,Rogue Pictures
2005,Valiant,"$19,478,106","2,016","$5,914,722",30.40%,"2,014",Aug 19,Nov 17,Walt Disney Studios Motion Pictures
2005,Waiting...,"$16,124,543","1,652","$6,021,106",37.30%,"1,652",Oct 7,Nov 17,Lionsgate
2005,Walk on Water,"$2,713,932",47,"$60,465",2.20%,10,March 4,Sep 5,IDP Distribution
2005,Walk the Line,"$119,519,402","3,160","$22,347,341",18.70%,"2,961",Nov 18,May 4,Twentieth Century Fox
2005,Wallace & Gromit: The Curse of the Were-Rabbit,"$56,110,897","3,656","$16,025,987",28.60%,"3,645",Oct 5,Jan 5,DreamWorks Distribution
2005,War of the Worlds,"$234,280,354","3,910","$64,878,725",27.70%,"3,908",June 29,Nov 22,Paramount Pictures
2005,WaterCanadian Release,"$2,250,329",-,-,-,-,Nov 4,-,Mongrel Media
2005,Wedding Crashers,"$209,255,921","3,131","$32,200,000",-,"2,925",Jul 15,Dec 31,New Line Cinema
2005,White Noise,"$56,386,759","2,279","$24,113,565",42.80%,"2,261",Jan 7,Mar 31,Universal Pictures
