Year,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
2005,Wild Safari - A South African Adventure,"$16,621,530",21,-,-,-,Apr 8,Jul 31,-
2005,Wolf Creek,"$16,188,180","1,761","$2,805,754",17.30%,"1,749",Dec 25,Mar 9,-
2005,xXx: State of the Union,"$26,873,932","3,480","$12,712,272",47.30%,"3,480",Apr 29,May 30,Revolution Studios
2005,"Yours, Mine & Ours","$53,412,862","3,210","$17,461,108",32.70%,"3,206",Nov 23,Feb 16,Paramount Pictures
2005,Zathura: A Space Adventure,"$29,258,869","3,232","$13,427,872",45.90%,"3,223",Nov 11,Dec 11,Sony Pictures Releasing
2006,16 Blocks,"$36,895,141","2,706","$11,855,260",32.10%,"2,706",March 3,May 25,Warner Bros.
2006,A Good Year,"$7,459,300","2,067","$3,721,526",49.90%,"2,066",Nov 10,January 25,Twentieth Century Fox
2006,A Prairie Home Companion,"$20,342,852",767,"$4,566,293",22.40%,760,Jun 9,Oct 12,Picturehouse
2006,A Scanner Darkly,"$5,501,616",263,"$391,672",7.10%,17,Jul 7,Oct 12,Warner Independent Pictures (WIP)
2006,Accepted,"$36,323,505","2,917","$10,023,835",27.60%,"2,914",Aug 18,Oct 19,Universal Pictures
2006,Across the Universe,"$24,343,673",964,"$667,784",2.70%,23,Sep 14,Dec 9,Revolution Studios
2006,Akeelah and the Bee,"$18,848,430","2,195","$6,011,585",31.90%,"2,195",Apr 28,Jul 20,Lionsgate
2006,Aliens vs. Predator: Requiem,"$41,797,066","2,617","$10,059,425",24.10%,"2,611",Dec 25,Mar 23,Twentieth Century Fox
2006,All the King's Men,"$7,221,458","1,520","$3,672,366",50.90%,"1,514",Sep 22,Oct 15,Sony Pictures Releasing
2006,Amazing Grace,"$21,250,683","1,162","$4,305,000",-,791,Feb 23,Jun 14,IDP Distribution
2006,American Dreamz,"$7,191,830","1,500","$3,667,420",51.00%,"1,500",Apr 21,May 18,Universal Pictures
2006,American Gangster,"$130,164,645","3,110","$43,565,135",33.50%,"3,054",Nov 2,Jan 31,Universal Pictures
2006,An American Haunting,"$16,298,046","1,703","$6,380,000",-,"1,675",May 5,Jul 23,Freestyle Releasing
2006,An Inconvenient Truth,"$24,146,161",587,"$281,330",1.20%,4,May 24,November 2,Paramount Classics
2006,Annapolis,"$17,127,992","1,607","$7,681,171",44.80%,"1,605",Jan 27,Apr 13,Walt Disney Studios Motion Pictures
2006,Apocalypto,"$50,866,635","2,465","$15,005,604",29.50%,"2,465",Dec 8,Mar 8,Walt Disney Studios Motion Pictures
2006,Aqua Teen Hunger Force Colon Movie Film for Theaters,"$5,520,368",877,"$3,088,000",-,877,Apr 13,Jun 14,First Look International
2006,Aquamarine,"$18,597,342","2,538","$7,482,669",40%,"2,512",Mar 3,May 25,Twentieth Century Fox
2006,Are We Done Yet?,"$49,662,533","2,944","$14,262,724",28.70%,"2,877",Apr 4,Jul 5,Revolution Studios
2006,Art School Confidential,"$3,297,137",762,"$135,733",4.10%,12,May 5,Aug 17,Sony Pictures Classics
2006,Arthur and the Invisibles,"$15,132,763","2,248",-,-,-,Dec 29,May 10,-
2006,ATL,"$21,170,563","1,602","$11,554,404",54.60%,"1,602",Mar 31,May 25,Warner Bros.
2006,Atonement,"$50,927,067","1,400","$784,145",1.50%,32,Dec 7,Apr 10,Focus Features
2006,August Rush,"$31,664,162","2,310","$9,421,369",29.80%,"2,310",Nov 21,Feb 28,Warner Bros.
2006,Awake,"$14,377,198","2,023","$5,856,872",40.70%,"2,002",Nov 30,Mar 6,-
2006,Away from Her,"$4,571,521",275,"$114,628",2.50%,13,May 4,Jul 19,Lionsgate
2006,Babel,"$34,302,837","1,251","$389,351",1.10%,7,Oct 27,Mar 29,Paramount Vantage
2006,Balls of Fury,"$32,886,940","3,081","$11,352,123",34.50%,"3,052",Aug 29,Nov 15,Rogue Pictures
2006,Barnyard,"$72,637,803","3,311","$15,820,864",21.80%,"3,311",Aug 4,Nov 2,Paramount Pictures
2006,Basic Instinct 2,"$5,971,336","1,453","$3,201,420",54%,"1,453",Mar 31,Apr 16,Sony Pictures Releasing
2006,Because I Said So,"$42,674,040","2,529","$13,122,865",30.80%,"2,526",Feb 2,Apr 5,Universal Pictures
2006,Becoming Jane,"$18,670,946","1,210","$972,066",5.20%,100,Aug 3,Oct 25,Miramax
2006,Bee Movie,"$126,631,277","3,984","$38,021,044",30%,"3,928",Nov 2,Feb 14,DreamWorks
2006,Beerfest,"$19,185,184","2,964","$7,031,228",36.60%,"2,964",Aug 25,Nov 2,Warner Bros.
2006,Before the Devil Knows You're Dead,"$7,084,227",321,"$73,837",1%,2,Oct 26,Mar 13,THINKFilm
2006,Bella,"$8,070,537",457,"$1,328,448",16.50%,165,Oct 26,Jul 2,Roadside Attractions
2006,Beowulf,"$82,280,579","3,249","$27,515,871",33.40%,"3,153",Nov 16,Jan 31,Paramount Pictures
2006,Big Momma's House 2,"$70,165,972","3,261","$27,736,056",39.50%,"3,261",Jan 27,Jun 1,Twentieth Century Fox
2006,Black Book,"$4,398,532",193,"$112,521",2.60%,9,Apr 4,Aug 23,Sony Pictures Classics
2006,Black Christmas,"$16,273,581","1,544","$3,723,364",22.90%,"1,544",Dec 25,-,-
2006,Black Snake Moan,"$9,396,870","1,253","$4,143,199",44.10%,"1,252",Mar 2,May 24,Paramount Vantage
2006,Blades of Glory,"$118,594,548","3,467","$33,014,202",27.80%,"3,372",Mar 30,Jul 12,DreamWorks
2006,Blood and Chocolate,"$3,526,847","1,200","$2,074,300",58.80%,"1,200",Jan 26,Mar 29,Metro-Goldwyn-Mayer (MGM)
2006,Blood Diamond,"$57,377,916","1,920","$8,648,324",15.10%,"1,910",Dec 8,Apr 12,Warner Bros.
2006,Bobby,"$11,242,801","1,670","$69,039",0.60%,2,Nov 17,-,-
2006,Bon Cop Bad Cop,"$12,665,721",260,"$1,433,259",11.30%,133,Aug 4,Dec 17,Alliance Atlantis Vivafilm
2006,Borat,"$128,505,958","2,611","$26,455,463",20.60%,837,Nov 3,Mar 25,Twentieth Century Fox
2006,Boynton Beach Club,"$3,127,472",65,"$63,422",2.00%,11,Mar 17,Dec 14,-
2006,Bratz,"$10,010,209","1,509","$4,208,455",42%,"1,509",Aug 3,Nov 1,Lionsgate
2006,Breach,"$33,231,264","1,505","$10,504,990",31.60%,"1,489",Feb 16,Apr 12,Universal Pictures
2006,Bridge to Terabithia,"$82,272,442","3,210","$22,564,612",27.40%,"3,139",Feb 16,Jun 28,Walt Disney Studios Motion Pictures
2006,Bug,"$7,025,810","1,661","$3,245,556",46.20%,"1,661",May 25,Jun 21,Lionsgate
2006,Cars,"$244,082,982","3,988","$60,119,509",24.60%,"3,985",June 9,Oct 19,Walt Disney Studios Motion Pictures
2006,Casino Royale,"$167,445,960","3,443","$40,833,156",24.40%,"3,434",Nov 17,Mar 18,Sony Pictures Releasing
2006,Catch a Fire,"$4,299,773","1,306","$2,012,000",-,"1,305",Oct 27,November 23,Focus Features
2006,Catch and Release,"$15,539,051","1,622","$7,658,898",49.30%,"1,622",Jan 26,Mar 18,Sony Pictures Releasing
2006,Charlie Wilson's War,"$66,661,095","2,594","$9,656,250",14.50%,"2,575",Dec 21,Mar 6,Universal Pictures
2006,Charlotte's Web,"$82,985,708","3,745","$11,457,353",13.80%,"3,566",Dec 15,Mar 22,Paramount Pictures
2006,Children of Men,"$35,552,383","1,524","$501,003",1.40%,16,Dec 25,March 15,Universal Pictures
2006,Clerks II,"$24,148,068","2,150","$10,061,132",41.70%,"2,150",Jul 21,Sep 28,-
2006,Click,"$137,355,633","3,764","$40,011,365",29.10%,"3,749",Jun 23,Sep 24,Revolution Studios
2006,Code Name: The Cleaner,"$8,135,024","1,736","$4,300,000",-,"1,736",Jan 5,Feb 1,New Line Cinema
2006,Crank,"$27,838,408","2,515","$10,457,367",37.60%,"2,515",Sep 1,Oct 19,Lionsgate
2006,Crossover,"$7,009,668","1,023","$3,767,567",53.70%,"1,023",Sep 1,Sep 24,Sony Pictures Releasing
2006,Curious George,"$58,360,760","2,609","$14,703,405",25.20%,"2,566",Feb 10,May 4,Universal Pictures
2006,Curse of the Golden Flower,"$6,566,773","1,234","$184,000",2.80%,60,Dec 21,Mar 29,Sony Pictures Classics
2006,Daddy Day Camp,"$13,235,267","2,332","$3,402,678",25.70%,"2,332",Aug 8,Oct 14,Revolution Studios
2006,Daddy's Little Girls,"$31,366,978","2,111","$11,210,754",35.70%,"2,111",Feb 14,Mar 29,Lionsgate
2006,Dan in Real Life,"$47,642,963","1,941","$11,809,445",24.80%,"1,921",Oct 26,Feb 10,Walt Disney Studios Motion Pictures
2006,Date Movie,"$48,548,426","2,898","$19,076,261",39.30%,"2,896",Feb 17,June 1,Twentieth Century Fox
2006,Dave Chappelle's Block Party,"$11,718,595","1,200","$6,516,000",-,"1,200",Mar 3,April 6,Rogue Pictures
2006,Dead Silence,"$16,809,076","1,806","$7,842,725",46.70%,"1,805",Mar 16,Apr 19,Universal Pictures
2006,Death at a Funeral,"$8,580,428",324,"$1,282,973",15%,260,Aug 17,Jan 3,Metro-Goldwyn-Mayer (MGM)
2006,Death Sentence,"$9,534,258","1,823","$4,231,321",44.40%,"1,822",Aug 31,Nov 1,Twentieth Century Fox
2006,Deck the Halls,"$35,093,569","3,205","$12,001,256",34.20%,"3,205",Nov 22,Feb 8,Twentieth Century Fox
2006,Deep Sea,"$46,412,757",47,"$700,213",1.50%,43,Mar 3,-,Warner Bros.
2006,Deja Vu,"$64,038,616","3,108","$20,574,802",32%,"3,108",Nov 22,Mar 1,Walt Disney Studios Motion Pictures
2006,Delta Farce,"$8,130,530","1,931","$3,420,645",42.10%,"1,931",May 11,Jun 14,Lionsgate
2006,Disturbia,"$80,209,692","3,132","$22,224,982",27.70%,"2,925",Apr 13,Aug 2,DreamWorks
2006,Doogal,"$7,438,000","2,319","$3,605,899",49%,"2,318",Feb 24,Apr 13,The Weinstein Company
2006,Dragon Wars: D-War,"$10,977,721","2,277","$5,376,000",-,"2,277",Sep 14,Oct 18,Freestyle Releasing
2006,Dreamgirls,"$103,365,956","2,797","$378,950",0.40%,3,Dec 15,Apr 19,DreamWorks
2006,Eastern Promises,"$17,266,000","1,408","$547,092",3.20%,15,Sep 14,-,Focus Features
2006,Eight Below,"$81,612,565","3,122","$20,188,176",25%,"3,066",Feb 17,Jun 1,Walt Disney Studios Motion Pictures
2006,El cantante,"$7,556,712",542,"$3,202,035",42.40%,542,Aug 3,Oct 4,Picturehouse
2006,Elizabeth: The Golden Age,"$16,383,509","2,006","$6,153,075",37.60%,"2,001",Oct 12,Dec 31,Universal Pictures
2006,Employee of the Month,"$28,444,855","2,579","$11,407,751",40.10%,"2,579",Oct 6,Nov 30,Lionsgate
2006,Enchanted,"$127,807,262","3,730","$34,440,317",26.90%,"3,730",Nov 21,Mar 13,Walt Disney Studios Motion Pictures
2006,End of the Spear,"$11,967,000","1,163","$4,712,000",-,"1,163",January 20,Mar 9,Rocky Mountain Pictures
2006,Epic Movie,"$39,739,367","2,840","$18,612,544",46.80%,"2,801",Jan 26,May 3,Twentieth Century Fox
2006,Eragon,"$75,030,163","3,030","$23,239,907",31.00%,"3,020",Dec 15,Apr 8,Twentieth Century Fox
2006,Evan Almighty,"$100,462,298","3,636","$31,192,615",31%,"3,604",Jun 22,-,Universal Pictures
2006,Evening,"$12,492,481",979,"$3,513,000",-,977,Jun 29,Aug 2,Focus Features
2006,Everyone's Hero,"$14,523,101","2,898","$6,061,762",41.70%,"2,896",Sep 15,Dec 7,Twentieth Century Fox
2006,Facing the Giants,"$10,178,331",441,"$1,389,000",-,441,Sep 29,Jan 25,IDP Distribution
2006,Failure to Launch,"$88,715,192","3,202","$24,411,322",27.50%,"3,057",Mar 10,Jun 22,Paramount Pictures
2006,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684",44%,"3,959",Jun 15,Oct 18,Twentieth Century Fox
2006,Fearless,"$24,633,730","1,810","$10,564,000",-,"1,806",Sep 22,Nov 16,Rogue Pictures
2006,Feast of Love,"$3,511,074","1,203","$1,707,967",48.60%,"1,200",Sep 28,-,Metro-Goldwyn-Mayer (MGM)
2006,Feel the Noise,"$5,898,393","1,020","$3,187,153",54%,"1,015",Oct 5,-,-
2006,Final Destination 3,"$54,098,051","2,880","$20,125,000",-,"2,880",Feb 10,Apr 16,New Line Cinema
2006,Firehouse Dog,"$13,932,383","2,881","$3,838,916",27.60%,"2,860",Apr 4,Aug 2,Twentieth Century Fox
2006,Firewall,"$48,751,189","2,840","$13,635,463",28.00%,"2,840",Feb 10,May 18,Warner Bros.
2006,Flags of Our Fathers,"$33,602,376","2,375","$10,245,190",30.50%,"1,876",Oct 20,Dec 14,DreamWorks
2006,Flicka,"$21,000,147","2,877","$7,703,551",36.70%,"2,877",Oct 20,Feb 8,Twentieth Century Fox
2006,Flushed Away,"$64,665,672","3,707","$18,814,323",29.10%,"3,707",Nov 3,Mar 1,DreamWorks
2006,Flyboys,"$13,090,630","2,033","$6,004,219",45.90%,"2,033",Sep 22,Dec 21,Metro-Goldwyn-Mayer (MGM)
2006,For Your Consideration,"$5,549,923",625,"$372,012",6.70%,23,November 17,Jan 25,Warner Independent Pictures (WIP)
2006,Fracture,"$39,015,018","2,443","$11,180,000",-,"2,443",Apr 20,Jul 26,New Line Cinema
2006,Fred Claus,"$72,006,777","3,603","$18,515,473",25.70%,"3,603",Nov 9,Feb 14,Warner Bros.
2006,Freedom Writers,"$36,605,602","2,286","$9,405,582",25.70%,"1,360",Jan 5,Mar 15,Paramount Pictures
2006,Freedomland,"$12,512,886","2,361","$5,833,562",47%,"2,361",Feb 17,Mar 12,Revolution Studios
2006,Friends with Money,"$13,368,437","1,010","$637,000",-,28,Apr 7,Aug 17,Sony Pictures Classics
2006,Garfield: A Tail of Two Kitties,"$28,426,747","2,981","$7,288,977",25.60%,"2,946",Jun 16,Sep 28,Twentieth Century Fox
2006,Georgia Rule,"$19,103,072","2,531","$6,773,870",35.50%,"2,523",May 11,Jun 28,Universal Pictures
2006,Ghost Rider,"$115,802,596","3,620","$45,388,836",39.20%,"3,619",Feb 16,Apr 29,Sony Pictures Releasing
2006,Glory Road,"$42,647,449","2,397","$13,594,734",31.90%,"2,222",Jan 13,May 11,Walt Disney Studios Motion Pictures
2006,Goal! The Dream Begins,"$4,283,255","1,007","$1,921,838",44.90%,"1,007",May 12,Aug 10,Walt Disney Studios Motion Pictures
2006,Gone Baby Gone,"$20,300,218","1,713","$2,299,000",11.30%,"1,713",Oct 19,Jan 1,Miramax
2006,Good Luck Chuck,"$35,017,297","2,612","$13,652,001",39%,"2,612",Sep 21,Nov 15,Lionsgate
2006,Grandma's Boy,"$6,090,172","2,016","$3,009,341",49.40%,"2,015",Jan 6,Feb 23,Twentieth Century Fox
2006,Gridiron Gang,"$38,432,823","3,510","$14,414,630",37.50%,"3,504",Sep 15,October 22,Sony Pictures Releasing
2006,Grindhouse,"$25,037,897","2,629","$11,596,613",46.30%,"2,624",Apr 6,Jun 21,-
2006,Hairspray,"$118,871,849","3,121","$27,800,000",-,"3,121",Jul 20,Oct 25,New Line Cinema
2006,Half Nelson,"$2,697,938",106,"$53,983",2%,2,Aug 11,Dec 14,THINKFilm
2006,Halloween,"$58,272,029","3,475","$26,362,367",45.20%,"3,472",Aug 31,Dec 13,-
2006,Hannibal Rising,"$27,670,986","3,003","$13,051,650",47.20%,"3,003",Feb 9,May 10,-
2006,Happily N'Ever After,"$15,589,393","2,381","$6,608,244",42.40%,"2,381",Jan 5,Feb 15,Lionsgate
2006,Happy Feet,"$198,000,317","3,804","$41,533,432",21.00%,"3,804",Nov 17,May 10,Warner Bros.
2006,Harry Potter and the Order of the Phoenix,"$292,004,738","4,285","$77,108,414",26.40%,"4,285",Jul 11,Dec 13,Warner Bros.
2006,Harsh Times,"$3,337,931",956,"$1,968,505",59.00%,956,Nov 10,Dec 14,Metro-Goldwyn-Mayer (MGM)
2006,Hitman,"$39,687,694","2,468","$13,180,769",33.20%,"2,458",Nov 21,Mar 13,Twentieth Century Fox
2006,Hollywoodland,"$14,426,251","1,551","$6,008,000",-,"1,548",Sep 8,Oct 26,Focus Features
2006,Hoot,"$8,117,637","3,018","$3,400,000",-,"3,018",May 5,June 8,New Line Cinema
2006,Hostel,"$47,326,473","2,337","$19,556,099",41.30%,"2,195",Jan 6,Feb 16,Lionsgate
2006,Hostel: Part II,"$17,609,452","2,350","$8,203,391",46.60%,"2,350",Jun 8,Jul 5,Lionsgate
2006,Hot Fuzz,"$23,637,265","1,272","$5,837,000",-,825,Apr 20,Jul 26,Rogue Pictures
2006,Hot Rod,"$13,938,332","2,607","$5,310,711",38.10%,"2,607",Aug 3,Sep 27,Paramount Pictures
2006,How to Eat Fried Worms,"$13,040,527","1,870","$3,950,000",-,"1,870",Aug 25,Oct 12,New Line Cinema
2006,I Am Legend,"$256,393,010","3,648","$77,211,321",30.10%,"3,606",Dec 14,Apr 10,Warner Bros.
2006,I Know Who Killed Me,"$7,498,716","1,320","$3,506,291",46.80%,"1,320",Jul 27,-,Sony Pictures Releasing
2006,I Now Pronounce You Chuck & Larry,"$120,059,556","3,501","$34,233,750",28.50%,"3,495",Jul 20,Oct 18,Universal Pictures
2006,I Think I Love My Wife,"$12,550,605","1,794","$5,674,802",45.20%,"1,776",Mar 16,May 31,-
2006,I'm Not There,"$4,017,609",149,"$730,819",18.20%,130,Nov 21,Mar 6,The Weinstein Company
2006,Ice Age: The Meltdown,"$195,330,621","3,969","$68,033,544",34.80%,"3,964",Mar 31,Sep 7,Twentieth Century Fox
2006,Idlewild,"$12,571,185",975,"$5,745,780",45.70%,973,Aug 25,Oct 5,Universal Pictures
2006,In the Land of Women,"$11,052,958","2,155","$4,712,341",42.60%,"2,155",Apr 20,Jun 28,Warner Bros.
2006,In the Valley of Elah,"$6,777,741",978,"$133,557",2%,9,Sep 14,Feb 21,Warner Independent Pictures (WIP)
2006,Inside Man,"$88,513,495","2,867","$28,954,945",32.70%,"2,818",Mar 24,Jul 6,Universal Pictures
2006,Into the Wild,"$18,354,356",660,"$212,440",1.20%,4,Sep 21,Mar 27,Paramount Vantage
2006,Invincible,"$57,806,952","2,987","$17,031,122",29.50%,"2,917",Aug 25,Nov 16,Walt Disney Studios Motion Pictures
2006,Jackass Number Two,"$72,778,712","3,063","$29,002,002",39.80%,"3,059",Sep 22,Nov 30,Paramount Pictures
2006,John Tucker Must Die,"$41,011,711","2,566","$14,276,534",34.80%,"2,560",Jul 28,Nov 2,Twentieth Century Fox
2006,Juno,"$143,495,265","2,534","$413,869",0.30%,7,Dec 5,Jun 19,-
2006,Just My Luck,"$17,326,650","2,543","$5,692,285",32.90%,"2,541",May 12,Aug 3,Twentieth Century Fox
2006,Kabhi Alvida Naa Kehna,"$3,275,444",64,"$1,351,786",41.30%,64,Aug 11,Sep 24,Yash Raj Films
2006,Keeping Up with the Steins,"$4,339,241",163,"$621,000",-,138,May 12,Aug 3,Miramax
2006,Kickin' It Old Skool,"$4,502,604","1,816","$2,484,624",55.20%,"1,816",Apr 27,Jul 12,Yari Film Group Releasing
2006,Knocked Up,"$148,768,917","2,975","$30,690,990",20.60%,"2,871",Jun 1,-,Universal Pictures
2006,La Vie En Rose,"$10,301,706",178,"$179,848",1.70%,8,Jun 8,Apr 10,Picturehouse
2006,Ladrón que roba a ladrón,"$4,011,254",340,"$1,626,090",40.50%,340,Aug 31,Oct 18,Lionsgate
2006,Lady in the Water,"$42,285,169","3,235","$18,044,396",42.70%,"3,235",Jul 21,Sep 28,Warner Bros.
2006,Larry the Cable Guy: Health Inspector,"$15,680,099","1,747","$6,922,767",44.20%,"1,710",Mar 24,May 25,Lionsgate
2006,Lars and the Real Girl,"$5,972,884",321,"$90,418",1.50%,7,Oct 12,Mar 6,Metro-Goldwyn-Mayer (MGM)
2006,Last Holiday,"$38,399,961","2,514","$12,806,188",33.30%,"2,514",Jan 13,Mar 9,Paramount Pictures
2006,Let's Go to Prison,"$4,630,045","1,495","$2,220,050",47.90%,"1,495",November 17,Dec 14,Universal Pictures
2006,Letters from Iwo Jima,"$13,756,082",781,"$89,097",0.60%,5,Dec 20,Apr 26,Warner Bros.
2006,License to Wed,"$43,799,818","2,715","$10,422,258",23.80%,"2,604",Jul 3,Oct 4,Warner Bros.
2006,Lions for Lambs,"$15,002,854","2,216","$6,702,434",44.70%,"2,215",Nov 9,Feb 7,United Artists
2006,Little Children,"$5,463,019",115,"$97,953",1.80%,5,Oct 6,Apr 12,New Line Cinema
2006,Little Man,"$58,645,052","2,537","$21,613,176",36.90%,"2,533",Jul 14,Aug 27,Revolution Studios
2006,Little Miss Sunshine,"$59,891,098","1,602","$370,998",0.60%,7,Jul 26,March 29,-
2006,Live Free or Die Hard,"$134,529,403","3,411","$33,369,559",24.80%,"3,408",Jun 27,Nov 8,Twentieth Century Fox
2006,Love in the Time of Cholera,"$4,607,608",852,"$1,915,000",-,852,Nov 16,Dec 20,New Line Cinema
2006,Lucky Number Slevin,"$22,495,466","1,989","$7,031,921",31.30%,"1,984",Apr 7,Jul 20,-
2006,Lucky You,"$5,758,950","2,525","$2,710,445",47.10%,"2,525",May 4,Jul 5,Warner Bros.
2006,"Lust, Caution","$4,604,982",143,"$63,918",1.40%,1,Sep 28,Jan 24,Focus Features
2006,Madea's Family Reunion,"$63,257,940","2,194","$30,030,661",47.50%,"2,194",Feb 24,Apr 27,Lionsgate
2006,Man of the Year,"$37,327,390","2,626","$12,299,380",33.00%,"2,515",Oct 13,Nov 30,Universal Pictures
2006,Marie Antoinette,"$15,962,471",870,"$5,361,050",33.60%,859,Oct 20,Dec 3,Sony Pictures Releasing
2006,Martian Child,"$7,500,310","2,020","$3,650,000",-,"2,020",Nov 2,Dec 13,New Line Cinema
2006,Material Girls,"$11,449,638","1,509","$4,603,121",40%,"1,509",Aug 18,Oct 26,Metro-Goldwyn-Mayer (MGM)
2006,Meet the Robinsons,"$97,822,171","3,435","$25,123,781",25.70%,"3,413",Mar 30,Sep 6,Walt Disney Studios Motion Pictures
2006,Miami Vice,"$63,450,470","3,026","$25,723,815",40.50%,"3,021",Jul 28,Oct 5,Universal Pictures
2006,Michael Clayton,"$49,033,882","2,585","$719,910",1.50%,15,Oct 5,Mar 20,Warner Bros.
2006,Miss Potter,"$3,005,605",102,"$9,653",0.30%,2,Dec 29,-,-
2006,Mission: Impossible III,"$134,029,801","4,059","$47,743,273",35.60%,"4,054",May 5,Jul 20,Paramount Pictures
2006,Monster House,"$73,661,010","3,553","$22,217,226",30.20%,"3,553",Jul 21,Oct 22,Sony Pictures Releasing
2006,Mr. Bean's Holiday,"$33,302,167","1,778","$9,889,780",29.70%,"1,714",Aug 24,Oct 18,Universal Pictures
2006,Mr. Brooks,"$28,549,298","2,453","$10,017,067",35.10%,"2,453",Jun 1,-,Metro-Goldwyn-Mayer (MGM)
2006,Mr. Magorium's Wonder Emporium,"$32,061,555","3,168","$9,630,085",30%,"3,164",Nov 16,Mar 13,Twentieth Century Fox
2006,Mr. Woodcock,"$25,799,486","2,237","$9,100,000",-,"2,231",Sep 14,Nov 15,New Line Cinema
2006,Music and Lyrics,"$50,572,589","2,955","$13,623,630",26.90%,"2,955",Feb 14,May 17,Warner Bros.
